;tournament;date;prize;teams_no;host_locaion;event_locaion;first_place;second_place;Host Location;Latitude (generated);Longitude (generated)
0;epicenter 2019;2019-12-17;500000.0;8; Russia;Moscow;Vitality;mouz;Russia;55,752;37,615
1;blast pro series: global final 2019;2019-12-12;500000.0;4; Bahrain;Riffa;Astralis;FaZe;Bahrain;26,14;50,57
2;esl pro league season 10 - finals;2019-12-03;600000.0;16; Denmark;Odense;mouz;Fnatic;Denmark;55,4;10,3833
3;esports championship series season 8 - finals;2019-11-28;500000.0;8; United States;Arlington;Astralis;Liquid;United States;42,0813;-87,9801
4;cs:go asia championships 2019;2019-11-20;500000.0;8; China;Shanghai;mouz;ENCE;China;31,1667;121,4667
5;starseries & i-league cs:go season 8;2019-10-21;500000.0;16; Turkey;Belek;EG;Fnatic;Turkey;36,862;31,055
6;starladder berlin major 2019;2019-08-23;1000000.0;24; Germany;Berlin;Astralis;AVG;Germany;52,5167;13,3833
7;esl one: cologne 2019;2019-07-02;300000.0;16; Germany;Cologne;Liquid;Vitality;Germany;50,9422;6,9578
8;esl pro league season 9 - finals;2019-06-18;600000.0;16; France;Montpellier;Liquid;G2;France;43,6109;3,8772
9;esports championship series season 7 - finals;2019-06-06;500000.0;8; United Kingdom;London;Vitality;FURIA;United Kingdom;51,5073;-0,1276
10;starseries & i-league cs:go season 7;2019-03-30;500000.0;16; China;Shanghai;Na`Vi;Fnatic;China;31,1667;121,4667
11;intel extreme masters xiii - katowice major 2019;2019-02-13;1000000.0;24; Poland;Katowice;Astralis;ENCE;Poland;50,25;19
