;tournament;player
0;epicenter_2019;flamie
1;epicenter_2019;s1mple
2;epicenter_2019;electronic
3;epicenter_2019;Boombl4
4;epicenter_2019;GuardiaN
5;epicenter_2019;buster
6;epicenter_2019;qikert
7;epicenter_2019;Jame
8;epicenter_2019;SANJI
9;epicenter_2019;AdreN
10;epicenter_2019;apEX
11;epicenter_2019;RpK
12;epicenter_2019;ZywOo
13;epicenter_2019;ALEX
14;epicenter_2019;shox
15;epicenter_2019;es3tag
16;epicenter_2019;stavn
17;epicenter_2019;b0RUP
18;epicenter_2019;Snappi
19;epicenter_2019;cadiaN
20;epicenter_2019;chrisJ
21;epicenter_2019;ropz
22;epicenter_2019;karrigan
23;epicenter_2019;woxic
24;epicenter_2019;frozen
25;epicenter_2019;facecrack
26;epicenter_2019;Jerry
27;epicenter_2019;almazer
28;epicenter_2019;xsepower
29;epicenter_2019;FL1T
30;epicenter_2019;Marek
31;epicenter_2019;SLOWLY
32;epicenter_2019;DeStRoYeR
33;epicenter_2019;4king
34;epicenter_2019;equal
35;epicenter_2019;KRIMZ
36;epicenter_2019;JW
37;epicenter_2019;Brollan
38;epicenter_2019;flusha
39;epicenter_2019;Golden
40;blast_pro_series:_global_final_2019;rain
41;blast_pro_series:_global_final_2019;NiKo
42;blast_pro_series:_global_final_2019;olofmeister
43;blast_pro_series:_global_final_2019;coldzera
44;blast_pro_series:_global_final_2019;broky
45;blast_pro_series:_global_final_2019;nitr0
46;blast_pro_series:_global_final_2019;EliGE
47;blast_pro_series:_global_final_2019;Twistzz
48;blast_pro_series:_global_final_2019;NAF
49;blast_pro_series:_global_final_2019;Stewie2K
50;blast_pro_series:_global_final_2019;device
51;blast_pro_series:_global_final_2019;dupreeh
52;blast_pro_series:_global_final_2019;Xyp9x
53;blast_pro_series:_global_final_2019;gla1ve
54;blast_pro_series:_global_final_2019;Magisk
55;blast_pro_series:_global_final_2019;f0rest
56;blast_pro_series:_global_final_2019;REZ
57;blast_pro_series:_global_final_2019;Lekr0
58;blast_pro_series:_global_final_2019;Plopski
59;blast_pro_series:_global_final_2019;twist
60;esl_pro_league_season_10_-_finals;chrisJ
61;esl_pro_league_season_10_-_finals;ropz
62;esl_pro_league_season_10_-_finals;karrigan
63;esl_pro_league_season_10_-_finals;woxic
64;esl_pro_league_season_10_-_finals;frozen
65;esl_pro_league_season_10_-_finals;es3tag
66;esl_pro_league_season_10_-_finals;stavn
67;esl_pro_league_season_10_-_finals;b0RUP
68;esl_pro_league_season_10_-_finals;Snappi
69;esl_pro_league_season_10_-_finals;cadiaN
70;esl_pro_league_season_10_-_finals;device
71;esl_pro_league_season_10_-_finals;dupreeh
72;esl_pro_league_season_10_-_finals;Xyp9x
73;esl_pro_league_season_10_-_finals;gla1ve
74;esl_pro_league_season_10_-_finals;Magisk
75;esl_pro_league_season_10_-_finals;flamie
76;esl_pro_league_season_10_-_finals;s1mple
77;esl_pro_league_season_10_-_finals;electronic
78;esl_pro_league_season_10_-_finals;Boombl4
79;esl_pro_league_season_10_-_finals;GuardiaN
80;esl_pro_league_season_10_-_finals;kennyS
81;esl_pro_league_season_10_-_finals;JACKZ
82;esl_pro_league_season_10_-_finals;AMANEK
83;esl_pro_league_season_10_-_finals;nexa
84;esl_pro_league_season_10_-_finals;huNter-
85;esl_pro_league_season_10_-_finals;rain
86;esl_pro_league_season_10_-_finals;NiKo
87;esl_pro_league_season_10_-_finals;olofmeister
88;esl_pro_league_season_10_-_finals;coldzera
89;esl_pro_league_season_10_-_finals;broky
90;esl_pro_league_season_10_-_finals;aizy
91;esl_pro_league_season_10_-_finals;Kjaerbye
92;esl_pro_league_season_10_-_finals;gade
93;esl_pro_league_season_10_-_finals;JUGi
94;esl_pro_league_season_10_-_finals;cajunb
95;esl_pro_league_season_10_-_finals;JW
96;esl_pro_league_season_10_-_finals;KRIMZ
97;esl_pro_league_season_10_-_finals;Brollan
98;esl_pro_league_season_10_-_finals;flusha
99;esl_pro_league_season_10_-_finals;Golden
100;esl_pro_league_season_10_-_finals;FalleN
101;esl_pro_league_season_10_-_finals;fer
102;esl_pro_league_season_10_-_finals;TACO
103;esl_pro_league_season_10_-_finals;LUCAS1
104;esl_pro_league_season_10_-_finals;kNgV-
105;esl_pro_league_season_10_-_finals;Brehze
106;esl_pro_league_season_10_-_finals;CeRq
107;esl_pro_league_season_10_-_finals;Ethan
108;esl_pro_league_season_10_-_finals;tarik
109;esl_pro_league_season_10_-_finals;stanislaw
110;esl_pro_league_season_10_-_finals;nitr0
111;esl_pro_league_season_10_-_finals;EliGE
112;esl_pro_league_season_10_-_finals;Twistzz
113;esl_pro_league_season_10_-_finals;NAF
114;esl_pro_league_season_10_-_finals;Stewie2K
115;esl_pro_league_season_10_-_finals;exit
116;esl_pro_league_season_10_-_finals;leo_drunky
117;esl_pro_league_season_10_-_finals;jnt
118;esl_pro_league_season_10_-_finals;meyern
119;esl_pro_league_season_10_-_finals;Luken
120;esl_pro_league_season_10_-_finals;JT
121;esl_pro_league_season_10_-_finals;motm
122;esl_pro_league_season_10_-_finals;oSee
123;esl_pro_league_season_10_-_finals;floppy
124;esl_pro_league_season_10_-_finals;Sonic
125;esl_pro_league_season_10_-_finals;AZR
126;esl_pro_league_season_10_-_finals;jks
